date,type,year,avg_price,size,nb_sold
12/27/2015,conventional,2015,0.95,small,9.63E+06
12/20/2015,conventional,2015,0.98,small,8.71E+06
12/13/2015,organic,2015,0.93,small,9.86E+06
12/6/2015,conventional,2015,0.89,small,9.41E+06
11/29/2015,conventional,2015,0.99,small,8.10E+06
11/22/2015,conventional,2015,0.96,large,8.57E+06
11/15/2015,conventional,2015,0.92,large,9.91E+06
11/8/2015,organic,2015,0.97,large,9.99E+06
11/1/2015,organic,2015,0.97,large,1.01E+07
10/25/2015,organic,2015,1.04,large,8.68E+06
10/18/2015,conventional,2015,0.99,large,9.16E+06
10/11/2015,conventional,2015,1,extra_large,8.83E+06
10/4/2015,conventional,2015,1.02,extra_large,8.35E+06
9/27/2015,organic,2015,1.03,extra_large,8.45E+06
9/20/2015,conventional,2015,1.02,extra_large,9.42E+06
9/13/2015,organic,2015,1.03,extra_large,9.88E+06
9/6/2015,conventional,2015,1.02,extra_large,1.26E+07
8/30/2015,conventional,2015,1.07,extra_large,1.17E+07
8/23/2015,organic,2015,1.08,extra_large,1.13E+07
8/16/2015,conventional,2015,1.05,small,1.27E+07
8/9/2015,organic,2015,1.05,small,1.30E+07
8/2/2015,organic,2015,1.09,small,1.21E+07
7/26/2015,conventional,2015,1.07,small,1.22E+07
7/19/2015,conventional,2015,1.07,small,1.27E+07
7/12/2015,conventional,2015,1.07,small,1.24E+07
7/5/2015,organic,2015,1.04,small,1.56E+07
6/28/2015,conventional,2015,1.06,small,1.33E+07
6/21/2015,organic,2015,1.02,small,1.47E+07
6/14/2015,conventional,2015,0.98,small,1.64E+07
6/7/2015,conventional,2015,1,large,1.65E+07
5/31/2015,organic,2015,1.03,large,1.55E+07
5/24/2015,conventional,2015,1.04,large,1.60E+07
5/17/2015,conventional,2015,1.06,large,1.46E+07
5/10/2015,organic,2015,1.02,large,1.62E+07
5/3/2015,conventional,2015,0.96,large,1.78E+07
4/26/2015,organic,2015,1.07,small,1.38E+07
4/19/2015,organic,2015,1.03,small,1.43E+07
4/12/2015,organic,2015,1.02,small,1.48E+07
4/5/2015,organic,2015,1.06,extra_large,1.39E+07
3/29/2015,conventional,2015,1.04,large,1.25E+07
3/22/2015,conventional,2015,1.01,large,1.37E+07
3/15/2015,conventional,2015,1.04,small,1.32E+07
3/8/2015,organic,2015,1.02,small,1.30E+07
3/1/2015,organic,2015,0.97,small,1.33E+07
2/22/2015,conventional,2015,1.02,small,1.26E+07
2/15/2015,organic,2015,1.03,small,1.26E+07
2/8/2015,conventional,2015,0.95,small,1.33E+07
2/1/2015,conventional,2015,0.89,small,1.89E+07
1/25/2015,conventional,2015,1.04,small,1.22E+07
1/18/2015,organic,2015,1.03,large,1.19E+07
